#sample	num_of_est	1-purity_estimate	low_bound	top_bound
TCGA-EW-A6SB-01A	1	0.553	0.535	0.574
TCGA-EW-A6SC-01A	1	0.343	0.323	0.365
TCGA-EW-A6SD-01A	1	0.325	0.304	0.347
TCGA-GI-A2C8-01A	1	0.385	0.359	0.415
TCGA-GM-A2DA-01A	1	0.451	0.425	0.478
TCGA-GM-A2DB-01A	1	0.536	0.505	0.577
TCGA-GM-A2DC-01A	1	0.247	0.23	0.27
TCGA-GM-A2DF-01A	1	0.61	0.576	0.635
TCGA-GM-A2DH-01A	1	0.458	0.428	0.486
TCGA-GM-A2DK-01A	1	0.51	0.473	0.537
TCGA-GM-A2DL-01A	1	0.472	0.443	0.498
TCGA-GM-A2DM-01A	1	0.282	0.257	0.304
TCGA-GM-A2DN-01A	1	0.631	0.583	0.658
TCGA-GM-A3XL-01A	1	0.321	0.3	0.346
TCGA-GM-A4E0-01A	1	0.654	0.631	0.686
TCGA-GM-A5PV-01A	1	0.397	0.372	0.433
TCGA-GM-A5PX-01A	1	0.487	0.457	0.519
TCGA-HN-A2OB-01A	1	0.59	0.555	0.627
TCGA-JL-A3YX-01A	1	0.242	0.228	0.258
TCGA-LD-A66U-01A	1	0.527	0.501	0.567
TCGA-LD-A74U-01A	1	0.574	0.547	0.595
TCGA-LL-A440-01A	1	0.787	0.762	0.816
TCGA-LL-A50Y-01A	1	0.264	0.242	0.286
TCGA-LL-A5YL-01A	1	0.357	0.334	0.378
TCGA-LL-A5YM-01A	1	0.198	0.181	0.214
TCGA-LL-A5YP-01A	1	0.393	0.358	0.434
TCGA-LL-A6FP-01A	1	0.104	0.092	0.117
TCGA-LL-A6FQ-01A	1	0.164	0.148	0.179
